adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0000012208-19-000014	12208	BIO-RAD LABORATORIES, INC.	3826	US	CA	HERCULES	94547	1000 ALFRED NOBEL DRIVE		5107247000	US	CA	HERCULES	94547	1000 ALFRED NOBEL DRIVE		US	DE	941381833	BIO RAD LABORATORIES INC	19920703	1-LAF	0	1231	10-K	20181231	2018	FY	20190401	2019-03-29 21:07:00.0	0	1	a10k123118_htm.xml	1	
0000016160-19-000032	16160	CAL-MAINE FOODS INC	0200	US	MS	JACKSON	39209	3320 WOODROW WILSON DRIVE		6019486813	US	MS	JACKSON	39209	3320 WOODROW WILSON DR		US	DE	640500378	CAL MAINE FOODS INC	19961018	1-LAF	0	0531	10-Q	20190228	2019	Q3	20190401	2019-04-01 07:43:00.0	0	1	calm-2019x03x02x10q_htm.xml	1	
0000070415-19-000050	70415	GP STRATEGIES CORP	8200	US	MD	COLUMBIA	21044	70 CORPORATE CENTER	11000 BROKEN LAND PARKWAY, SUITE 200	443-367-9600	US	MD	COLUMBIA	21044	70 CORPORATE CENTER	11000 BROKEN LAND PARKWAY, SUITE 200	US	DE	131926739	NATIONAL PATENT DEVELOPMENT CORP	19920703	2-ACC	0	1231	10-K	20181231	2018	FY	20190401	2019-04-01 16:45:00.0	0	1	gpx-20181231.xml	1	
0000075288-19-000024	75288	OXFORD INDUSTRIES INC	2320	US	GA	ATLANTA	30309	999 PEACHTREE STREET NE	SUITE 688	404-659-2424	US	GA	ATLANTA	30309	999 PEACHTREE STREET NE	SUITE 688	US	GA	580831862			1-LAF	1	0131	10-K	20190131	2018	FY	20190401	2019-04-01 15:01:00.0	0	1	oxm-20190202.xml	1	
0000100716-19-000017	100716	UNICO AMERICAN CORP	6331	US	CA	CALABASAS	91302	26050 MUREAU ROAD		8185919800	US	CA	CALABASAS	91302	26050 MUREAU ROAD		US	NV	952583928	UNIVERSAL COVERAGE CORP	19730823	4-NON	0	1231	10-K	20181231	2018	FY	20190401	2019-03-29 20:00:00.0	0	1	unam-20181231.xml	1	
0000320121-19-000007	320121	TELOS CORP	7373	US	VA	ASHBURN	20147	19886 ASHBURN ROAD		7034716000	US	VA	ASHBURN	20147	19886 ASHBURN ROAD		US	MD	520880974	C3 INC	19920703	4-NON	0	1231	10-K	20181231	2018	FY	20190401	2019-04-01 15:39:00.0	0	1	tlsrp-20181231.xml	1	
0000914748-19-000004	914748	EVEREST REINSURANCE HOLDINGS INC	6331	US	NJ	LIBERTY CORNER	07938	477 MARTINSVILLE RD	PO BOX 830	9086043000	US	NJ	LIBERTY CORNER	07938	477 MARTINSVILLE RD	PO BOX 830	US	DE	223263609	PRUDENTIAL REINSURANCE HOLDINGS INC	19931115	4-NON	1	1231	10-K	20181231	2018	FY	20190401	2019-04-01 15:12:00.0	0	1	cik0000914748-20181231.xml	1	
0000924168-19-000018	924168	ENERGY FOCUS, INC/DE	3640	US	OH	SOLON	44139	32000 AURORA ROAD	SUITE B	4407151300	US	OH	SOLON	44139	32000 AURORA ROAD	SUITE B	US	DE	943021850	FIBERSTARS INC /CA/	19940527	4-NON	0	1231	10-K	20181231	2018	FY	20190401	2019-04-01 16:44:00.0	0	1	efoi-20181231.xml	1	
0000928953-19-000008	928953	PILLARSTONE CAPITAL REIT	6798	US	TX	HOUSTON	77063	2600 S. GESSNER RD - SUITE 555		8328100100	US	TX	HOUSTON	77063	2600 S. GESSNER RD - SUITE 555		US	MD	396594066	PARAGON REAL ESTATE EQUITY & INVESTMENT TRUST	20030711	4-NON	0	1231	10-K	20181231	2018	FY	20190401	2019-04-01 16:43:00.0	0	1	wsr-20181231.xml	1	
0000934543-19-000006	934543	AMERICAN CHURCH MORTGAGE CO	6500	US	MN	MINNEAPOLIS	55343	10237 YELLOW CIRCLE DRIVE		6129459455	US	MN	MINNEAPOLIS	55343	10237 YELLOW CIRCLE DR		US	MN	411793975			4-NON	0	1231	10-K	20181231	2018	FY	20190401	2019-04-01 14:20:00.0	0	1	acmc-20181231.xml	1	
